Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2012,04,08,19.6,1,Y
IDCJAC0010,080023,2012,04,09,20.2,1,Y
IDCJAC0010,080023,2012,04,10,18.2,1,Y
IDCJAC0010,080023,2012,04,11,20.3,1,Y
IDCJAC0010,080023,2012,04,12,24.3,1,Y
IDCJAC0010,080023,2012,04,13,25.0,1,Y
IDCJAC0010,080023,2012,04,14,27.0,1,Y
IDCJAC0010,080023,2012,04,15,29.7,1,Y
IDCJAC0010,080023,2012,04,16,27.0,1,Y
IDCJAC0010,080023,2012,04,17,27.8,1,Y
IDCJAC0010,080023,2012,04,18,25.5,1,Y
IDCJAC0010,080023,2012,04,19,22.0,1,Y
IDCJAC0010,080023,2012,04,20,25.5,1,Y
IDCJAC0010,080023,2012,04,21,26.4,1,Y
IDCJAC0010,080023,2012,04,22,25.8,1,Y
IDCJAC0010,080023,2012,04,23,21.9,1,Y
IDCJAC0010,080023,2012,04,24,14.4,1,Y
IDCJAC0010,080023,2012,04,25,18.0,1,Y
IDCJAC0010,080023,2012,04,26,18.4,1,Y
IDCJAC0010,080023,2012,04,27,20.3,1,Y
IDCJAC0010,080023,2012,04,28,22.0,1,Y
IDCJAC0010,080023,2012,04,29,18.2,1,Y
IDCJAC0010,080023,2012,04,30,18.2,1,Y
IDCJAC0010,080023,2012,05,01,25.5,1,Y
IDCJAC0010,080023,2012,05,02,17.8,1,Y
IDCJAC0010,080023,2012,05,03,17.7,1,Y
IDCJAC0010,080023,2012,05,04,16.4,1,Y
IDCJAC0010,080023,2012,05,05,16.0,1,Y
IDCJAC0010,080023,2012,05,06,18.0,1,Y
IDCJAC0010,080023,2012,05,07,21.7,1,Y
IDCJAC0010,080023,2012,05,08,25.6,1,Y
IDCJAC0010,080023,2012,05,09,22.1,1,Y
IDCJAC0010,080023,2012,05,10,21.6,1,Y
IDCJAC0010,080023,2012,05,11,18.8,1,Y
IDCJAC0010,080023,2012,05,12,16.7,1,Y
