Habitat,DayNight,Replicate,Mass,Peramphithoe_parmerong,Ampithoe_caddi,Ampithoe_kava,Ampithoe_ngana,Cymadusa_munnu,Exampithoe_kutti,Plumithoe_quadrimana
Sargassum_linearifolium,N,5,20.9,20,9,71,97,0,2,0
Sargassum_linearifolium,D,1,52.3,16,0,9,57,0,7,0
Sargassum_linearifolium,D,2,25.6,8,33,21,23,0,7,0
Sargassum_linearifolium,D,3,70.4,3,4,9,4,0,0,0
Sargassum_linearifolium,D,4,52.7,26,14,8,5,0,18,0
Sargassum_linearifolium,D,5,31,5,5,42,84,0,4,0
Sargassum_linearifolium,N,1,41.5,3,17,21,89,0,3,0
Sargassum_linearifolium,N,2,40.1,23,43,36,60,0,23,0
Sargassum_linearifolium,N,3,35.2,13,25,65,103,0,4,0
Sargassum_linearifolium,N,4,47.7,96,11,28,73,0,9,0
Sargassum_linearifolium,N,5,34.6,45,27,29,38,0,10,0
Sargassum_vestitum,D,1,42.3,30,1,6,3,0,2,0
Sargassum_vestitum,D,2,42.8,56,10,22,11,0,0,0
Sargassum_vestitum,D,3,37.9,60,8,12,5,0,0,0
Sargassum_vestitum,D,4,27.1,31,5,16,19,0,0,0
Sargassum_vestitum,D,5,34.4,24,1,8,1,0,8,0
Sargassum_vestitum,N,1,25.6,44,5,15,5,0,5,0
Sargassum_vestitum,N,2,46.4,18,1,1,0,0,0,0
Sargassum_vestitum,N,3,51.9,42,13,3,0,0,0,0
Sargassum_vestitum,N,4,26.1,20,20,31,4,0,4,0
Sargassum_vestitum,N,5,28.7,13,5,23,10,0,4,0
Sargassum_vestitum,D,1,31.8,23,1,2,1,0,1,0
Sargassum_vestitum,D,2,27.3,13,0,2,4,0,3,0
Sargassum_vestitum,D,3,52.9,3,0,1,1,0,0,0
Sargassum_vestitum,D,4,35.7,9,14,10,6,0,2,0
Sargassum_vestitum,D,5,31.8,5,0,1,1,0,0,0
Sargassum_vestitum,N,1,51.9,45,0,0,3,0,0,0
Sargassum_vestitum,N,2,27.1,16,1,1,0,0,0,0
Sargassum_vestitum,N,3,26.4,16,7,10,4,0,0,0
Sargassum_vestitum,N,4,16.3,9,1,0,0,0,0,0
Sargassum_vestitum,N,5,53.7,2,0,0,0,0,0,0
Zonaria_diesingiana,D,1,8.6,0,14,8,59,0,43,0
Zonaria_diesingiana,D,2,8.9,0,2,4,22,0,0,0
Zonaria_diesingiana,D,3,12.8,0,0,0,23,0,2,0
Zonaria_diesingiana,D,4,11.8,0,0,3,9,0,1,0
Zonaria_diesingiana,D,5,14.6,0,5,13,12,0,7,0
Zonaria_diesingiana,N,1,11.8,0,10,0,40,0,19,0
Zonaria_diesingiana,N,2,3.9,0,0,0,43,0,6,0
Zonaria_diesingiana,N,3,6.6,0,2,0,61,0,11,4
Zonaria_diesingiana,N,4,12.8,0,5,0,19,0,6,0
Zonaria_diesingiana,N,5,5.6,0,3,4,17,0,2,0
Zonaria_diesingiana,D,1,6.2,0,1,10,33,0,6,6
Zonaria_diesingiana,D,2,7.4,0,0,0,10,0,10,0
Zonaria_diesingiana,D,3,15.3,0,0,4,30,0,7,0
Zonaria_diesingiana,D,4,9.9,0,0,0,4,0,1,8
Zonaria_diesingiana,D,5,10.4,0,3,0,42,0,0,1
Zonaria_diesingiana,N,1,4.2,0,14,2,36,2,18,0
Zonaria_diesingiana,N,2,7.6,0,8,13,50,0,5,7
Zonaria_diesingiana,N,3,10.3,0,4,1,28,0,1,0
Zonaria_diesingiana,N,4,7,0,4,0,10,0,4,0
Zonaria_diesingiana,N,5,7.2,0,3,0,49,0,14,0
