"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu00081",43,27,25,44,41,48,77,57,132,48,56,47,109,125,79
"Otu00086",32,28,37,71,106,67,102,76,108,81,111,71,25,16,24
"Otu00088",35,25,15,77,82,39,89,53,88,81,82,88,85,45,59
"Otu00084",47,62,47,106,79,50,97,45,79,103,79,68,27,21,23
"Otu00090",24,58,20,169,58,26,58,45,36,43,44,33,76,108,130
"Otu00094",43,43,34,72,67,66,112,67,110,67,62,72,24,23,23
"Otu00087",35,41,25,98,84,55,89,27,87,51,78,65,42,47,52
"Otu00096",31,39,25,67,75,45,71,34,93,96,78,82,46,40,38
"Otu00147",2,5,0,413,0,0,244,185,7,1,0,0,0,0,0
"Otu00098",37,29,37,115,48,40,123,36,90,69,64,54,36,17,46
"Otu00093",30,21,23,47,96,46,92,48,82,88,59,81,36,37,37
"Otu00095",30,60,97,93,84,43,79,30,50,53,65,42,41,18,32
"Otu00097",31,35,24,61,72,33,99,35,69,89,65,72,40,24,36
"Otu00100",26,58,78,123,63,34,67,30,73,45,47,34,22,23,50
"Otu00099",37,39,54,41,43,34,67,14,57,38,36,53,66,71,98
"Otu00101",12,19,20,30,47,25,34,21,58,59,44,20,139,81,117
"Otu00104",18,8,14,49,44,38,61,24,71,40,35,34,96,90,101
"Otu00103",20,34,42,65,41,30,41,21,69,49,55,30,76,64,73
"Otu00102",40,44,41,62,59,32,84,34,74,56,54,72,15,10,16
"Otu00112",18,19,25,64,52,37,82,33,60,65,48,50,62,29,44
"Otu00107",23,28,40,57,36,40,59,24,101,53,40,51,64,26,45
"Otu00108",26,20,7,50,54,33,87,43,62,47,33,55,57,39,68
"Otu00109",28,54,56,71,50,19,51,12,53,32,45,25,51,59,68
"Otu00117",11,29,18,77,64,49,75,21,50,58,34,43,58,26,48
"Otu00143",18,9,44,16,10,14,96,131,247,20,7,27,3,3,5
"Otu00111",19,22,25,49,27,33,55,21,52,52,47,43,81,59,63
"Otu00106",24,22,25,58,51,35,57,33,66,77,68,54,25,16,28
"Otu00114",22,18,14,15,40,25,37,14,70,51,35,48,91,90,67
"Otu00105",33,34,30,50,39,26,46,18,64,40,36,44,67,29,73
"Otu00121",33,18,41,79,38,18,56,23,64,60,39,31,51,30,41
"Otu00116",13,18,16,35,45,22,51,18,39,37,22,36,75,76,112
"Otu00115",34,34,31,53,42,25,61,20,66,51,40,35,55,27,40
"Otu00119",36,29,26,50,27,26,39,20,94,33,33,45,62,40,50
"Otu00110",28,30,24,42,38,28,59,26,79,65,39,38,38,29,45
"Otu00120",57,28,64,96,31,15,62,26,55,25,30,22,24,20,40
"Otu00122",13,21,49,112,48,26,53,21,47,43,49,44,15,11,39
"Otu00113",48,44,26,27,31,17,63,52,93,44,37,37,23,18,17
"Otu00125",17,22,27,42,36,34,69,11,54,49,31,39,39,39,45
"Otu00144",38,48,19,48,6,29,51,54,154,20,23,43,4,7,6
"Otu00128",28,42,35,36,55,39,52,20,46,39,37,27,27,30,35
"Otu00132",14,17,16,34,31,46,67,32,70,37,56,55,34,21,18
"Otu00124",38,22,17,86,19,21,66,18,59,28,32,33,40,31,37
"Otu00137",18,24,65,25,32,17,134,30,47,26,25,34,23,10,35
"Otu00133",36,41,56,41,39,26,53,8,54,33,30,25,32,22,47
"Otu00123",29,33,40,55,33,27,37,13,44,35,24,28,47,40,57
"Otu00126",41,17,14,18,35,28,48,30,56,43,29,30,64,29,59
"Otu00189",5,6,4,183,2,0,129,187,3,0,2,1,5,3,10
"Otu00142",26,44,50,58,53,40,40,17,55,28,44,35,22,15,9
"Otu00127",37,32,29,52,36,26,63,46,54,40,30,34,21,18,16
"Otu00149",17,10,15,28,17,28,86,24,127,43,29,41,22,21,26
"Otu00129",18,20,22,47,22,44,46,22,56,43,36,35,48,31,35
"Otu00131",21,34,42,46,32,19,45,18,41,19,22,14,38,42,85
"Otu00156",27,11,26,169,16,30,18,8,28,32,21,39,12,18,62
"Otu00134",23,15,17,69,33,24,60,35,41,37,47,29,26,25,24
"Otu00138",17,32,22,65,49,31,66,35,62,28,31,26,12,13,12
"Otu00136",34,32,43,50,35,34,56,23,43,42,34,28,17,8,20
"Otu00145",15,19,35,110,20,27,23,15,40,12,24,16,20,48,74
"Otu00140",21,39,64,58,29,14,55,13,24,20,22,20,33,39,46
"Otu00139",29,23,20,24,37,22,48,31,64,53,30,45,30,22,17
"Otu00135",31,61,81,75,48,21,37,11,29,22,23,17,13,4,21
"Otu00148",36,15,24,26,33,17,40,32,78,48,44,35,21,23,21
"Otu00290",4,0,0,288,0,0,87,105,4,0,0,0,0,0,0
"Otu00155",40,21,14,55,31,33,39,20,70,29,28,29,23,26,22
"Otu00146",17,14,8,71,16,27,50,30,39,25,28,23,37,49,38
