"","DC1","DC2","DC3","DS1","DS2","DS3","SC1","SC2","SC3","SS1","SS2","SS3","U1","U2","U3"
"Otu00957",16,8,4,7,8,12,11,1,3,6,9,0,6,5,13
"Otu00968",15,7,14,9,3,1,6,8,5,7,9,7,5,9,4
"Otu00762",11,10,7,2,12,8,17,6,2,11,9,5,2,2,4
"Otu00851",1,9,12,3,9,8,6,8,8,4,7,7,10,10,6
"Otu00896",3,0,2,6,7,10,14,7,1,13,14,3,12,8,8
"Otu00911",11,5,11,6,7,5,7,3,1,8,5,11,8,5,15
"Otu00925",4,6,9,8,6,12,7,5,6,11,10,5,13,4,2
"Otu00948",18,13,11,3,9,8,5,9,2,7,9,3,3,6,2
"Otu01089",10,7,12,6,12,10,11,4,12,10,4,8,0,0,2
"Otu00838",13,8,8,2,11,11,1,1,5,8,4,10,9,6,10
"Otu00840",4,6,9,1,4,3,8,9,8,2,5,5,11,16,16
"Otu00873",8,5,12,16,8,6,7,5,4,6,3,3,7,7,10
"Otu00905",4,14,6,15,5,4,6,5,6,8,11,7,4,5,7
"Otu00914",5,0,4,1,9,12,8,14,6,10,3,16,8,7,4
"Otu00935",9,11,6,6,6,14,0,4,7,7,11,14,4,3,5
"Otu01004",12,17,16,4,10,8,5,4,4,5,7,5,2,6,2
"Otu01021",12,5,11,7,15,10,6,7,13,4,5,5,1,3,3
"Otu01022",2,0,0,8,0,1,6,0,1,6,4,4,4,0,71
"Otu00845",4,7,10,22,5,6,5,5,2,10,9,10,4,3,4
"Otu00871",13,3,16,1,12,3,1,9,6,4,7,4,9,15,3
"Otu00882",5,15,16,5,19,4,5,5,5,8,5,2,5,2,5
"Otu00889",3,13,13,1,6,10,5,3,4,5,7,12,3,8,13
"Otu00947",6,17,12,7,3,7,4,3,3,10,5,7,11,8,3
"Otu00991",1,3,5,0,4,5,29,10,9,10,5,9,7,0,9
"Otu01070",4,13,15,1,2,1,8,1,5,3,5,0,11,20,17
"Otu00855",10,11,12,12,10,9,3,6,6,4,2,6,2,2,10
"Otu00887",8,1,5,7,10,10,4,7,5,9,9,14,3,11,2
"Otu00943",4,9,5,6,8,3,11,11,9,7,8,12,1,4,7
"Otu00958",11,2,3,1,3,4,3,7,5,6,9,2,19,19,11
"Otu01173",6,1,4,27,3,1,0,2,1,3,0,5,2,2,48
"Otu00886",12,19,11,6,11,5,0,5,13,2,9,4,2,2,3
"Otu00904",11,9,10,2,4,4,10,4,6,7,4,3,9,13,8
"Otu00907",1,5,6,3,6,5,0,2,5,3,11,9,14,18,16
"Otu01020",1,4,6,10,4,5,10,9,1,25,9,9,4,0,7
"Otu01037",12,8,9,2,4,10,6,6,6,12,3,14,6,4,2
"Otu01060",2,9,0,0,2,0,1,0,1,0,2,0,1,3,83
"Otu01090",5,3,6,4,9,18,6,9,14,5,11,11,2,0,1
"Otu01098",0,2,20,0,1,3,27,10,0,7,0,11,7,1,15
"Otu01136",24,11,0,3,0,0,11,54,0,0,0,0,0,0,1
"Otu00848",5,4,6,3,6,5,3,1,6,3,5,3,17,23,13
"Otu00897",4,2,2,3,2,15,9,2,15,11,17,8,4,7,2
"Otu00906",6,5,5,0,4,3,10,7,7,7,5,8,12,8,16
"Otu00910",4,10,7,7,4,7,7,9,5,8,9,10,4,6,6
"Otu00921",13,8,10,9,4,6,3,6,7,13,3,8,7,4,2
"Otu00924",11,7,2,12,8,4,3,1,5,5,6,3,16,14,6
"Otu00934",16,13,10,7,2,3,5,5,1,1,6,8,7,8,11
"Otu01031",8,14,8,8,13,6,2,16,3,1,4,15,0,0,5
"Otu01119",4,0,41,0,0,1,21,13,2,5,2,2,6,1,5
"Otu01161",5,5,20,0,6,2,29,10,3,2,2,8,5,2,4
"Otu00877",8,2,1,1,9,6,10,11,4,4,6,13,17,4,6
"Otu00892",8,6,4,10,6,15,10,8,8,9,7,7,1,2,1
"Otu00893",9,3,5,9,3,7,2,4,10,4,0,4,6,14,22
"Otu00949",5,10,9,13,14,5,7,1,3,5,9,2,4,10,5
"Otu00950",8,16,5,0,8,15,4,3,6,7,8,2,8,6,6
"Otu00967",8,3,0,7,11,10,4,4,0,9,9,9,10,10,8
"Otu00971",6,15,14,14,10,7,5,8,5,3,5,5,0,0,5
"Otu00979",3,5,9,11,8,11,5,4,3,4,11,9,5,7,7
"Otu00983",6,11,3,15,4,6,9,6,13,6,7,11,2,2,1
"Otu01057",1,8,3,0,5,3,4,9,3,5,9,7,21,9,15
"Otu01092",7,1,2,26,13,13,6,7,7,1,5,9,1,0,4
"Otu00870",8,4,7,8,8,11,4,7,7,7,7,7,8,2,6
"Otu00930",10,14,13,4,3,4,3,4,4,11,4,4,10,4,9
"Otu00966",12,6,2,3,2,6,12,7,2,7,7,4,7,11,13
"Otu00975",0,3,2,3,2,11,10,7,2,7,3,6,20,15,10
"Otu01001",10,10,9,10,4,8,4,12,1,6,5,6,4,0,12
"Otu01011",12,21,13,5,11,1,5,7,1,9,8,4,1,2,1
"Otu01050",7,10,17,7,4,4,4,10,5,8,5,7,4,4,5
"Otu01061",10,6,5,12,6,6,12,5,4,5,8,11,2,2,7
"Otu01066",10,8,15,8,6,8,5,1,4,2,11,8,2,6,7
"Otu01130",0,0,0,1,0,0,9,90,0,0,0,1,0,0,0
"Otu01197",0,0,0,13,0,0,27,60,0,1,0,0,0,0,0
"Otu00850",4,10,9,16,4,11,2,6,2,4,10,6,2,6,8
"Otu00894",0,5,7,2,3,15,8,6,7,8,11,9,6,6,7
"Otu00922",9,14,13,7,6,6,6,8,8,0,7,7,0,2,7
"Otu00962",8,4,8,5,11,14,5,7,3,5,7,2,2,11,8
"Otu00963",11,9,4,7,5,7,4,9,10,19,0,6,0,5,4
"Otu00973",1,0,4,5,0,3,1,0,0,0,5,0,32,20,29
"Otu00993",10,9,10,6,6,6,7,12,7,10,3,5,1,4,4
"Otu01010",9,7,4,18,5,5,3,4,11,6,7,7,5,4,5
"Otu01019",6,0,0,14,0,10,4,0,1,1,3,6,1,10,44
"Otu01036",6,12,11,8,5,1,2,10,7,2,4,9,6,10,7
"Otu01073",8,5,6,6,9,3,9,13,5,9,7,4,9,6,1
"Otu01280",4,2,0,42,0,0,12,39,1,0,0,0,0,0,0
"Otu00918",20,14,14,2,5,2,4,12,5,6,13,0,1,1,0
"Otu00981",9,4,3,6,7,15,8,5,4,7,4,11,3,8,5
"Otu00982",13,9,7,0,0,17,7,9,13,3,2,10,2,1,6
"Otu00984",0,0,0,0,10,30,25,6,5,8,4,11,0,0,0
"Otu00985",0,0,1,0,3,1,19,26,0,4,4,16,5,7,13
"Otu00997",5,11,9,5,2,2,2,0,6,3,5,7,16,14,12
"Otu01052",4,6,4,2,3,14,7,8,11,8,6,8,5,9,4
"Otu01086",8,22,17,0,9,5,10,0,2,4,4,8,6,2,2
"Otu01106",10,5,3,7,6,10,4,12,9,13,7,6,5,0,2
"Otu01152",1,1,4,0,6,11,18,20,3,7,4,5,6,6,7
"Otu01186",5,7,8,2,8,4,7,12,5,15,13,7,0,3,3
"Otu00899",3,4,9,4,5,3,11,9,4,7,9,10,6,9,5
"Otu00900",2,20,12,2,12,6,7,9,3,6,11,2,1,3,2
"Otu00917",9,7,4,7,1,7,2,2,9,7,0,0,8,17,18
"Otu00929",9,7,2,7,9,11,11,4,0,7,6,6,10,6,3
"Otu00988",13,2,16,6,2,3,6,7,3,8,7,11,4,4,6
"Otu00996",6,1,3,3,14,7,3,8,11,13,8,10,5,3,3
"Otu01016",6,2,6,2,3,7,4,8,4,4,10,6,10,20,6
"Otu01137",0,3,1,0,3,1,2,1,0,5,3,0,7,4,68
"Otu01159",0,0,0,1,7,74,0,3,3,1,0,1,6,2,0
"Otu00885",9,5,22,7,6,0,3,1,1,9,0,10,3,9,12
"Otu00888",0,0,0,0,0,2,1,0,3,1,0,0,36,34,20
"Otu00945",2,8,5,3,8,6,12,15,5,7,2,3,8,10,3
"Otu01028",5,11,21,5,4,15,0,0,1,6,8,2,7,3,9
"Otu01110",4,15,8,0,6,6,4,14,4,8,9,8,3,4,4
"Otu00959",8,3,7,10,1,3,4,5,3,4,7,4,15,9,13
"Otu00961",5,12,6,4,2,2,1,1,10,6,6,5,17,7,12
"Otu00972",10,11,15,3,3,4,4,9,9,6,6,5,1,4,6
"Otu01025",9,3,11,3,2,9,9,7,5,1,1,8,14,8,6
"Otu01109",7,7,7,6,9,8,7,2,6,7,7,8,2,5,8
"Otu01114",12,3,10,9,5,11,3,14,9,2,0,7,0,5,6
"Otu01232",15,13,9,4,0,6,4,8,12,5,5,5,1,5,4
"Otu00990",8,13,22,8,8,10,4,4,2,8,1,2,3,1,1
"Otu00992",6,5,6,4,10,8,4,2,6,9,11,2,11,5,6
"Otu01014",10,9,7,8,8,3,3,2,1,12,4,14,6,3,5
"Otu01032",0,2,4,4,2,2,0,1,0,1,0,2,73,3,1
"Otu01034",4,2,3,0,13,13,10,5,5,7,8,11,3,6,5
"Otu01085",11,3,10,7,4,3,6,12,4,3,3,13,2,7,7
"Otu01107",11,13,9,5,3,6,18,6,7,0,4,9,3,1,0
"Otu01108",3,14,10,4,6,10,0,6,4,5,18,8,0,5,2
"Otu01113",5,4,3,8,7,3,5,3,7,7,10,6,8,11,8
"Otu01115",9,4,6,3,7,13,6,0,4,3,7,12,5,5,11
"Otu01204",4,7,8,5,6,10,3,2,13,6,2,6,13,4,6
"Otu00931",6,5,4,3,18,11,11,1,1,15,10,6,1,1,1
"Otu00944",6,18,18,1,2,7,2,4,3,9,4,7,3,5,5
"Otu00954",1,3,3,2,4,10,4,10,12,11,7,5,3,10,9
"Otu00976",12,7,6,5,2,3,3,4,5,0,8,6,12,6,15
"Otu01074",10,10,23,6,3,4,3,10,4,3,5,3,6,1,3
"Otu01081",14,9,7,1,8,5,7,5,8,9,6,5,0,3,7
"Otu01088",11,5,7,10,3,10,4,1,4,4,12,11,3,9,0
"Otu01120",7,7,3,25,7,9,2,5,5,3,7,5,2,4,3
"Otu01141",9,5,3,14,2,6,20,16,3,0,2,6,3,3,2
"Otu01000",5,10,12,10,4,10,3,4,6,3,0,3,4,8,11
"Otu01012",6,3,2,4,7,3,10,11,3,13,11,15,1,0,4
"Otu01030",4,0,0,2,1,3,3,7,6,5,2,10,14,23,13
"Otu01035",1,3,3,5,7,9,0,2,7,4,6,8,13,2,23
"Otu01038",13,10,5,24,2,5,0,7,2,4,2,5,3,4,7
"Otu01063",4,8,0,1,1,2,1,2,0,4,1,1,36,13,19
"Otu01077",6,3,1,5,12,2,4,4,7,11,3,6,15,5,9
"Otu01079",7,9,10,4,9,13,6,4,10,6,0,6,0,4,5
"Otu01146",8,9,12,10,10,6,4,7,3,0,6,1,7,4,6
"Otu01148",9,10,9,2,2,9,4,4,3,2,5,3,9,11,11
"Otu01150",6,7,7,5,7,9,7,2,8,4,5,5,7,8,6
"Otu01185",7,13,11,2,1,4,4,4,8,5,3,9,7,8,7
"Otu00970",6,0,1,3,4,6,2,8,8,12,10,15,6,3,8
"Otu00974",3,9,6,0,3,13,4,3,8,6,3,2,10,9,13
"Otu01009",0,5,0,3,14,12,10,4,0,6,6,7,15,5,5
"Otu01015",10,11,9,11,7,8,8,8,4,0,4,3,4,1,4
"Otu01044",13,3,5,1,2,10,6,13,3,9,10,13,1,0,3
"Otu01065",0,1,0,0,2,1,1,1,0,7,0,4,49,11,15
"Otu01068",6,8,11,7,8,7,4,5,12,2,7,3,2,5,5
"Otu01078",4,11,2,6,8,5,4,3,5,6,7,6,8,9,8
"Otu01102",12,5,6,0,5,8,7,13,7,8,8,8,4,1,0
"Otu01104",2,2,5,9,6,10,11,8,6,6,12,12,2,1,0
"Otu01105",5,8,12,8,6,6,3,1,6,5,7,4,10,4,7
"Otu01124",10,1,8,9,8,8,4,1,0,0,2,5,9,16,11
"Otu01167",6,12,24,2,7,5,4,2,5,5,3,6,3,3,5
"Otu01184",7,8,9,4,5,6,6,8,7,16,4,10,0,1,1
"Otu01239",9,19,17,4,5,6,3,0,3,3,4,9,3,3,4
"Otu01301",0,10,0,9,12,11,0,6,0,2,7,2,14,13,6
"Otu00964",7,6,2,4,9,4,4,5,7,8,17,15,1,1,1
"Otu01018",4,8,4,16,5,21,0,1,6,4,5,5,4,8,0
"Otu01027",3,2,1,8,6,6,5,13,6,12,5,4,7,6,7
"Otu01029",10,9,9,11,11,9,4,1,8,6,3,3,1,6,0
"Otu01046",4,12,20,0,6,1,4,3,4,8,6,2,6,9,6
"Otu01047",3,3,11,4,2,6,1,0,1,1,3,4,19,17,16
"Otu01054",7,9,14,5,5,10,5,4,4,5,5,8,4,4,2
"Otu01055",14,8,31,4,8,4,5,2,0,4,4,5,1,1,0
"Otu01067",6,7,9,6,4,8,3,12,8,4,7,9,2,3,3
"Otu01129",5,3,17,4,8,9,8,7,9,1,13,7,0,0,0
"Otu01163",3,5,10,6,7,11,5,5,7,8,3,2,8,5,6
"Otu01265",1,6,5,10,15,6,3,8,4,10,7,3,3,6,4
"Otu00927",9,14,6,4,3,3,2,5,5,5,15,3,8,4,4
"Otu00980",8,14,3,11,3,10,2,4,1,2,5,5,7,9,6
"Otu01003",10,6,5,4,5,7,7,2,5,3,13,8,7,6,2
"Otu01007",4,4,4,0,9,3,4,0,4,2,8,8,8,16,16
"Otu01008",2,6,0,7,6,6,3,7,5,13,4,7,10,4,10
"Otu01049",5,18,0,7,19,2,8,4,1,10,8,1,1,2,4
"Otu01076",6,7,15,6,5,15,1,0,3,5,1,3,9,10,4
"Otu01091",1,0,2,4,4,5,7,12,2,6,7,4,20,5,11
"Otu01094",5,0,10,10,6,8,3,7,6,6,4,4,10,4,7
"Otu01100",10,5,3,2,4,8,12,2,1,10,9,11,4,4,5
"Otu01181",3,5,2,2,3,4,5,5,3,6,3,7,15,9,18
"Otu01213",1,6,0,3,7,6,7,5,3,4,1,11,21,9,6
"Otu01219",22,9,9,8,5,8,0,1,2,2,7,3,2,8,4
"Otu01228",5,4,9,4,7,13,3,8,0,8,11,10,2,0,6
"Otu01264",5,8,6,0,4,13,8,5,12,11,6,12,0,0,0
"Otu01340",3,7,4,7,9,8,6,8,7,6,9,5,6,2,3
"Otu01059",4,5,4,6,8,14,3,6,5,8,3,6,6,5,6
"Otu01069",6,7,10,8,5,3,5,7,3,5,4,3,11,7,5
"Otu01097",12,4,6,3,5,11,13,7,2,7,4,12,1,2,0
"Otu01128",0,0,0,0,0,3,1,1,0,0,0,0,26,24,34
"Otu01140",12,4,12,9,2,9,14,3,3,3,5,7,3,3,0
"Otu01158",4,11,6,12,9,10,2,4,3,3,6,3,3,7,6
"Otu01160",5,11,19,2,4,4,3,14,4,6,3,3,4,3,4
"Otu01177",6,0,5,3,5,13,9,1,1,11,7,14,3,8,3
"Otu01200",1,6,6,6,7,7,3,8,9,6,4,10,9,5,2
"Otu01235",14,11,4,1,0,0,10,36,3,4,0,6,0,0,0
"Otu01315",10,14,12,2,7,7,6,6,11,3,1,9,0,1,0
"Otu00902",6,7,6,0,2,3,1,5,8,11,11,7,6,9,6
"Otu00969",1,2,5,1,9,4,1,3,8,1,4,2,18,15,14
"Otu00978",0,3,0,0,2,4,1,0,0,4,2,0,23,37,12
"Otu01157",11,6,11,12,10,10,2,2,7,4,9,2,1,1,0
"Otu01164",5,5,6,18,2,0,0,0,0,2,0,4,14,19,13
"Otu01171",5,5,9,5,14,15,5,7,1,3,8,7,3,0,1
"Otu01180",11,7,9,0,10,10,5,0,5,4,8,3,6,5,5
"Otu01193",7,11,7,7,9,7,4,2,2,9,3,9,2,9,0
"Otu01267",11,4,3,11,7,7,5,6,3,2,4,6,12,3,4
"Otu01300",35,6,7,1,0,4,4,17,8,5,0,0,0,1,0
"Otu01335",5,2,7,0,6,1,7,2,5,14,4,3,15,9,8
"Otu00987",3,4,1,6,1,11,5,10,6,8,3,6,11,7,5
"Otu00995",4,7,8,5,7,5,3,5,1,7,2,8,10,6,9
"Otu00998",2,9,12,3,6,9,7,4,11,4,6,3,5,4,2
"Otu01017",4,4,4,1,6,6,2,7,3,2,0,3,15,14,16
"Otu01071",5,0,8,6,9,9,8,4,6,4,6,6,8,6,2
"Otu01121",3,3,7,0,4,6,3,5,4,9,10,10,8,10,5
"Otu01145",6,3,4,8,5,9,3,8,3,7,4,6,15,4,2
"Otu01170",1,14,6,2,3,10,3,3,9,7,5,4,7,7,6
"Otu01224",6,2,2,11,3,16,7,8,7,1,3,7,8,1,5
"Otu00960",3,2,2,6,11,9,8,5,2,2,3,9,5,12,7
"Otu00977",2,3,3,5,5,8,6,5,8,2,6,9,6,6,12
"Otu01084",6,6,5,12,12,8,9,2,1,1,11,3,0,5,5
"Otu01112",10,8,11,5,12,2,9,6,8,3,5,5,0,2,0
"Otu01132",11,11,12,5,4,2,2,9,6,0,7,5,2,4,6
"Otu01143",3,4,5,8,9,5,0,7,6,2,11,5,9,10,2
"Otu01147",4,5,4,7,5,8,3,10,3,5,4,4,13,3,8
"Otu01192",5,4,0,3,2,8,9,9,6,10,13,8,5,2,2
"Otu01218",7,10,15,3,0,3,4,27,5,0,2,5,0,0,5
"Otu01402",30,18,0,4,1,0,14,18,0,0,1,0,0,0,0
"Otu01026",2,4,9,2,1,1,0,1,0,2,2,1,25,21,14
"Otu01039",3,8,4,4,8,8,6,10,3,11,7,7,2,1,3
"Otu01131",0,1,1,6,0,0,1,1,1,5,0,2,27,26,14
"Otu01139",3,5,3,1,5,7,2,8,9,6,8,11,3,7,7
"Otu01195",3,6,3,6,10,7,2,4,5,14,9,6,7,2,1
"Otu01196",4,8,6,7,6,3,7,12,1,5,0,11,7,3,5
"Otu01216",3,2,0,0,1,6,0,0,2,0,7,2,26,21,15
"Otu01246",8,12,5,6,10,6,5,3,2,1,2,1,7,6,11
"Otu01258",15,13,4,12,4,5,3,5,5,2,3,1,5,3,5
"Otu01262",9,11,12,5,9,4,7,2,6,7,7,5,0,1,0
"Otu01269",7,5,18,4,8,2,3,4,9,0,2,7,9,2,5
"Otu01276",5,9,10,4,6,5,3,5,4,2,7,4,7,4,10
"Otu01277",11,10,11,5,2,13,5,4,4,7,5,3,1,4,0
"Otu01302",1,14,9,6,12,9,4,0,3,12,3,5,5,2,0
"Otu01023",9,5,0,6,6,4,2,2,2,4,1,3,23,10,7
"Otu01075",9,4,4,1,6,4,7,7,4,8,10,6,6,7,1
"Otu01082",6,5,14,2,8,9,9,6,9,3,7,6,0,0,0
"Otu01083",5,7,7,0,4,6,6,8,8,2,7,5,9,3,7
"Otu01103",6,7,12,4,4,13,3,4,6,1,5,3,6,5,5
"Otu01127",7,3,4,2,8,4,5,5,7,7,8,2,9,9,4
"Otu01172",9,17,17,4,10,5,2,1,3,2,3,0,3,1,7
"Otu01175",3,1,3,7,3,9,7,6,2,1,5,4,2,12,19
"Otu01188",3,5,15,1,10,4,3,3,5,3,6,7,7,4,8
"Otu01190",7,9,2,5,6,0,9,7,5,14,7,4,2,4,3
"Otu01206",2,7,5,4,11,4,5,6,2,8,6,7,4,6,7
"Otu01240",4,5,14,2,6,1,4,1,3,5,5,12,5,12,5
"Otu01260",1,5,0,0,1,3,0,12,0,10,0,1,41,4,6
"Otu01275",7,15,11,9,5,5,3,5,10,3,5,3,1,0,2
"Otu01278",5,1,4,2,4,10,5,2,4,6,0,10,10,10,11
"Otu01303",2,18,15,3,5,4,5,1,6,5,4,1,2,2,11
"Otu01306",5,5,9,4,5,4,7,4,5,3,7,9,8,4,5
"Otu01348",8,16,14,6,6,10,4,1,4,1,3,3,4,3,1
"Otu01360",0,8,7,1,5,4,1,7,9,6,3,2,8,10,13
"Otu01380",11,7,8,9,3,12,2,4,13,2,3,2,3,3,2
"Otu01382",9,6,2,4,2,8,7,6,0,9,14,11,0,3,3
"Otu01048",1,7,2,1,1,3,0,1,2,1,1,1,28,14,20
"Otu01056",6,8,4,7,0,7,6,3,2,6,4,5,9,15,1
"Otu01062",2,7,14,1,2,2,7,4,6,7,1,6,10,7,7
"Otu01064",9,10,2,6,3,4,2,4,1,5,3,0,14,11,9
"Otu01101",2,11,7,1,6,9,1,6,4,7,1,8,8,2,10
"Otu01122",6,3,1,5,5,8,3,8,6,8,6,9,5,2,8
"Otu01135",9,2,5,2,3,13,3,7,4,7,5,6,10,1,6
"Otu01205",0,9,8,7,5,9,2,2,2,15,6,3,5,2,8
"Otu01214",4,3,16,4,1,1,9,11,4,4,4,4,4,9,5
"Otu01223",1,3,2,3,3,41,1,7,0,2,10,1,3,6,0
"Otu01272",8,8,6,6,2,2,13,9,4,3,5,13,0,2,2
"Otu01286",3,3,1,10,4,7,3,6,3,8,5,12,7,5,6
"Otu01535",7,2,0,1,0,0,4,67,0,0,0,0,0,1,1
"Otu01045",4,11,2,4,7,8,9,3,1,7,9,5,5,6,1
"Otu01080",5,13,11,8,5,13,2,0,8,5,4,4,4,0,0
"Otu01116",6,9,13,1,4,7,6,5,3,4,7,5,2,6,4
"Otu01142",0,14,0,1,0,9,4,7,3,3,6,4,17,4,10
"Otu01155",7,2,0,0,0,7,9,5,7,5,7,9,8,8,8
"Otu01156",8,13,19,2,0,4,7,2,2,12,4,6,0,0,3
"Otu01162",18,11,14,0,2,1,4,2,3,4,7,1,3,4,8
"Otu01191",3,0,3,6,12,6,6,11,4,8,12,10,0,0,1
"Otu01212",13,8,9,0,2,6,5,9,3,8,5,9,2,0,3
"Otu01227",5,11,8,3,7,6,4,4,9,9,4,4,1,6,1
"Otu01230",6,7,12,3,1,4,6,6,8,7,8,7,1,5,1
"Otu01251",1,3,6,1,4,8,7,7,9,6,10,4,4,7,5
"Otu01266",8,5,5,3,13,8,1,6,3,9,10,7,4,0,0
"Otu01326",3,7,10,3,14,4,3,7,8,4,9,2,2,3,3
"Otu01331",8,7,6,0,8,2,9,10,10,5,5,5,4,1,2
"Otu01347",3,8,0,18,7,10,3,3,3,1,2,8,5,8,3
"Otu00994",6,12,6,5,4,4,8,9,3,8,5,4,3,1,3
"Otu01111",3,6,4,7,3,2,9,8,5,2,0,2,18,6,6
"Otu01126",6,6,1,1,3,11,6,3,5,4,18,6,1,3,7
"Otu01182",4,6,6,10,2,7,5,4,2,4,2,7,7,11,4
"Otu01209",5,5,8,3,5,6,6,6,4,7,3,3,5,10,5
"Otu01210",4,8,14,1,9,10,2,4,2,0,3,6,5,9,4
"Otu01234",4,0,3,2,4,15,11,10,1,11,5,12,1,0,2
"Otu01273",2,6,1,4,6,5,8,5,3,8,6,8,13,1,5
"Otu01310",7,8,4,3,2,8,9,8,4,9,9,7,0,0,3
"Otu01318",4,1,2,5,7,7,5,6,3,7,9,14,1,7,3
"Otu01323",3,7,3,9,8,2,2,5,2,8,14,5,3,1,9
"Otu01349",10,10,8,5,5,1,5,6,9,4,8,5,0,1,4
"Otu01466",7,7,7,10,4,4,4,10,5,5,6,2,5,2,3
"Otu01043",0,7,11,2,12,10,6,4,4,1,7,5,6,5,0
"Otu01165",4,8,17,2,3,0,0,3,5,5,7,2,6,8,10
"Otu01168",4,10,26,3,7,3,0,4,0,3,8,7,1,0,4
"Otu01201",2,9,4,4,5,4,1,0,2,5,4,3,17,13,7
"Otu01202",2,6,6,3,6,8,6,7,7,10,3,4,3,4,5
"Otu01222",4,5,3,1,7,4,6,4,4,8,4,9,5,9,7
"Otu01238",8,7,8,6,6,4,3,6,1,5,7,6,3,1,9
"Otu01254",2,5,3,7,10,7,8,7,6,6,5,5,5,1,3
"Otu01283",7,12,3,4,8,6,2,4,5,3,12,8,4,2,0
"Otu01289",11,16,13,5,9,11,3,1,1,0,7,0,0,1,2
"Otu01327",6,2,2,4,4,4,13,6,9,7,3,1,1,4,14
"Otu01332",3,4,0,9,8,13,2,5,5,2,3,3,12,8,3
"Otu01364",5,10,11,4,5,4,6,3,4,5,4,6,3,6,4
"Otu01371",6,14,12,3,4,5,3,3,3,6,0,0,6,2,13
"Otu01093",6,9,5,1,6,6,5,2,9,4,5,7,7,4,3
"Otu01133",1,5,3,2,7,3,6,5,0,10,5,4,13,10,5
"Otu01176",1,1,0,0,0,71,0,0,1,1,0,0,0,4,0
"Otu01189",11,14,11,9,5,13,0,0,0,2,6,1,0,4,3
"Otu01207",7,2,4,4,8,11,3,10,4,7,5,6,4,1,3
"Otu01208",0,4,5,0,0,0,0,2,0,3,0,1,25,21,18
"Otu01217",3,12,6,6,3,11,2,5,3,4,6,4,6,2,6
"Otu01249",6,4,7,2,7,6,4,7,1,3,7,3,4,9,9
"Otu01250",3,0,0,10,9,12,3,6,0,9,9,9,3,5,1
"Otu01253",7,6,8,5,2,6,9,7,4,6,5,5,4,2,3
"Otu01263",17,0,3,2,2,11,9,10,9,3,8,2,2,1,0
"Otu01288",5,5,17,12,6,7,0,1,4,6,1,4,1,2,8
"Otu01291",2,3,7,7,4,8,6,6,6,2,5,6,1,10,6
"Otu01297",5,3,5,14,7,3,13,3,3,3,8,4,0,6,2
"Otu01314",8,13,13,0,7,2,0,7,3,5,2,8,2,6,3
"Otu01321",10,4,3,2,5,10,9,4,8,5,8,4,2,5,0
"Otu01322",7,8,12,7,9,1,2,3,5,2,6,3,6,6,2
"Otu01336",10,4,7,4,1,6,6,9,6,1,4,10,5,2,4
"Otu01350",9,14,5,3,9,7,3,4,3,5,8,5,4,0,0
"Otu01413",21,10,2,11,1,4,0,2,0,3,1,3,6,6,9
"Otu01051",5,0,4,0,0,8,2,1,5,5,8,6,15,14,5
"Otu01118",7,3,5,2,5,5,8,9,3,7,5,10,5,2,2
"Otu01123",10,3,3,3,6,5,5,4,6,9,6,7,5,4,2
"Otu01125",3,4,4,7,17,1,7,7,4,2,3,8,4,5,2
"Otu01149",12,4,7,0,2,4,3,9,5,7,7,4,2,7,5
"Otu01211",7,7,6,4,11,5,4,8,5,5,8,7,0,0,1
"Otu01229",9,9,3,10,7,5,4,5,12,3,0,0,2,5,4
"Otu01256",6,4,3,1,6,7,8,10,1,4,6,5,0,4,13
"Otu01290",5,17,7,5,4,11,4,2,4,5,4,6,0,2,2
"Otu01363",9,3,13,6,3,6,4,4,2,4,3,10,0,4,7
"Otu01373",3,5,7,3,6,6,4,6,9,2,7,7,6,4,3
"Otu01412",4,12,6,4,0,5,3,9,5,2,5,6,8,3,6
"Otu01474",3,6,6,1,1,6,3,18,12,16,3,2,0,0,1
"Otu01134",0,1,6,0,2,3,0,2,4,2,5,4,18,15,15
"Otu01151",2,5,4,0,4,10,6,4,5,5,6,6,7,4,9
"Otu01226",2,15,0,0,8,3,12,5,3,4,8,5,5,4,3
"Otu01270",0,3,3,4,10,6,7,5,4,5,2,6,5,8,9
"Otu01285",7,5,10,5,3,4,9,3,2,1,4,2,7,8,7
"Otu01307",3,4,9,5,9,8,8,2,10,5,3,6,2,0,3
"Otu01308",0,0,2,8,8,17,1,0,0,3,0,0,0,10,28
"Otu01311",0,4,2,4,4,3,2,4,8,4,3,6,9,9,15
"Otu01351",0,6,3,5,8,9,7,4,1,9,4,3,12,2,4
"Otu01404",9,5,3,4,3,4,3,7,12,2,10,6,0,7,2
"Otu01423",10,7,13,6,3,9,2,4,6,0,7,3,2,1,4
"Otu01437",5,13,11,5,7,3,3,2,3,3,2,3,4,10,3
"Otu01536",15,1,1,0,2,0,7,35,6,0,0,2,1,3,4
"Otu01144",1,7,12,7,8,6,2,3,7,4,6,8,0,2,3
"Otu01198",3,4,8,7,1,9,0,3,3,13,4,3,9,4,5
"Otu01199",10,6,0,1,0,8,5,5,6,5,5,1,13,6,5
"Otu01215",5,3,6,5,9,8,5,8,4,9,3,8,0,2,1
"Otu01231",10,9,1,9,6,1,7,6,6,8,6,3,4,0,0
"Otu01274",9,5,3,3,3,6,7,6,2,4,10,2,4,8,4
"Otu01299",2,7,3,4,1,6,5,5,3,7,8,9,3,2,11
