	T-G	G-D
1	-24.53	-48.15
2	6.52	-68.89
3	25.29	-80
4	-8.41	6.96
5	4.31	-2.08
6	17.73	-51.45
7	6.76	-80.18
8	8.56	-66.44
9	14.68	1.68
10	-45.41	-12.9
11	1.88	-6.43
12	8.51	-85.42
13	-10.51	-14.07
14	-22.92	-57.11
15	-43.38	-22.33
16	-9.76	-4.44
17	-48.25	-29.35
18	-19.4	-64.73
19	-2.46	-6.19
20	-82.69	56.17
