Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,080023,2013,04,08,31.0,1,Y
IDCJAC0010,080023,2013,04,09,29.7,1,Y
IDCJAC0010,080023,2013,04,10,30.6,1,Y
IDCJAC0010,080023,2013,04,11,29.2,1,Y
IDCJAC0010,080023,2013,04,12,30.8,1,Y
IDCJAC0010,080023,2013,04,13,29.9,1,Y
IDCJAC0010,080023,2013,04,14,28.3,1,Y
IDCJAC0010,080023,2013,04,15,,,
IDCJAC0010,080023,2013,04,16,22.1,2,Y
IDCJAC0010,080023,2013,04,17,21.5,1,Y
IDCJAC0010,080023,2013,04,18,21.7,1,Y
IDCJAC0010,080023,2013,04,19,18.8,1,Y
IDCJAC0010,080023,2013,04,20,21.3,1,Y
IDCJAC0010,080023,2013,04,21,22.4,1,Y
IDCJAC0010,080023,2013,04,22,20.7,1,Y
IDCJAC0010,080023,2013,04,23,22.8,1,Y
IDCJAC0010,080023,2013,04,24,20.4,1,Y
IDCJAC0010,080023,2013,04,25,23.5,1,Y
IDCJAC0010,080023,2013,04,26,24.0,1,Y
IDCJAC0010,080023,2013,04,27,26.7,1,Y
IDCJAC0010,080023,2013,04,28,26.2,1,Y
IDCJAC0010,080023,2013,04,29,17.0,1,Y
IDCJAC0010,080023,2013,04,30,17.5,1,Y
IDCJAC0010,080023,2013,05,01,20.0,1,Y
IDCJAC0010,080023,2013,05,02,18.6,1,Y
IDCJAC0010,080023,2013,05,03,22.0,1,Y
IDCJAC0010,080023,2013,05,04,18.3,1,Y
IDCJAC0010,080023,2013,05,05,18.5,1,Y
IDCJAC0010,080023,2013,05,06,18.1,1,Y
IDCJAC0010,080023,2013,05,07,20.4,1,Y
IDCJAC0010,080023,2013,05,08,25.8,1,Y
IDCJAC0010,080023,2013,05,09,25.2,1,Y
IDCJAC0010,080023,2013,05,10,24.8,1,Y
IDCJAC0010,080023,2013,05,11,26.0,1,Y
IDCJAC0010,080023,2013,05,12,23.7,1,Y
IDCJAC0010,080023,2013,05,13,16.7,1,Y
IDCJAC0010,080023,2013,05,14,15.8,1,Y
IDCJAC0010,080023,2013,05,15,17.6,1,Y
IDCJAC0010,080023,2013,05,16,17.1,1,Y
IDCJAC0010,080023,2013,05,17,16.3,1,Y
IDCJAC0010,080023,2013,05,18,14.2,1,Y
IDCJAC0010,080023,2013,05,19,18.5,1,Y
IDCJAC0010,080023,2013,05,20,22.3,1,Y
IDCJAC0010,080023,2013,05,21,18.6,1,Y
IDCJAC0010,080023,2013,05,22,12.0,1,Y
IDCJAC0010,080023,2013,05,23,17.6,1,Y
IDCJAC0010,080023,2013,05,24,17.2,1,Y
IDCJAC0010,080023,2013,05,25,16.9,1,Y
IDCJAC0010,080023,2013,05,26,17.0,1,Y
IDCJAC0010,080023,2013,05,27,17.0,1,Y
IDCJAC0010,080023,2013,05,28,17.6,1,Y
IDCJAC0010,080023,2013,05,29,20.7,1,Y
IDCJAC0010,080023,2013,05,30,15.1,1,Y
IDCJAC0010,080023,2013,05,31,20.0,1,Y
IDCJAC0010,080023,2013,06,01,15.8,1,Y
IDCJAC0010,080023,2013,06,02,16.3,1,Y
IDCJAC0010,080023,2013,06,03,14.9,1,Y
IDCJAC0010,080023,2013,06,04,14.4,1,Y
IDCJAC0010,080023,2013,06,05,15.5,1,Y
IDCJAC0010,080023,2013,06,06,17.1,1,Y
IDCJAC0010,080023,2013,06,07,15.8,1,Y
IDCJAC0010,080023,2013,06,08,15.7,1,Y
IDCJAC0010,080023,2013,06,09,14.8,1,Y
IDCJAC0010,080023,2013,06,10,17.7,1,Y
IDCJAC0010,080023,2013,06,11,19.1,1,Y
IDCJAC0010,080023,2013,06,12,15.1,1,Y
IDCJAC0010,080023,2013,06,13,15.2,1,Y
IDCJAC0010,080023,2013,06,14,15.6,1,Y
IDCJAC0010,080023,2013,06,15,14.0,1,Y
IDCJAC0010,080023,2013,06,16,14.2,1,Y
IDCJAC0010,080023,2013,06,17,13.6,1,Y
IDCJAC0010,080023,2013,06,18,15.7,1,Y
IDCJAC0010,080023,2013,06,19,14.5,1,Y
IDCJAC0010,080023,2013,06,20,13.7,1,Y
IDCJAC0010,080023,2013,06,21,15.1,1,Y
IDCJAC0010,080023,2013,06,22,16.0,1,Y
IDCJAC0010,080023,2013,06,23,15.1,1,Y
IDCJAC0010,080023,2013,06,24,15.3,1,Y
IDCJAC0010,080023,2013,06,25,16.8,1,Y
IDCJAC0010,080023,2013,06,26,17.0,1,Y
IDCJAC0010,080023,2013,06,27,16.1,1,Y
IDCJAC0010,080023,2013,06,28,17.6,1,Y
IDCJAC0010,080023,2013,06,29,17.0,1,Y
IDCJAC0010,080023,2013,06,30,16.3,1,Y
IDCJAC0010,080023,2013,07,01,17.5,1,Y
IDCJAC0010,080023,2013,07,02,18.2,1,Y
IDCJAC0010,080023,2013,07,03,16.9,1,Y
IDCJAC0010,080023,2013,07,04,17.6,1,Y
IDCJAC0010,080023,2013,07,05,14.2,1,Y
IDCJAC0010,080023,2013,07,06,15.0,1,Y
IDCJAC0010,080023,2013,07,07,15.1,1,Y
IDCJAC0010,080023,2013,07,08,14.0,1,Y
IDCJAC0010,080023,2013,07,09,10.8,1,Y
IDCJAC0010,080023,2013,07,10,15.8,1,Y
IDCJAC0010,080023,2013,07,11,15.0,1,Y
IDCJAC0010,080023,2013,07,12,17.6,1,Y
IDCJAC0010,080023,2013,07,13,14.3,1,Y
IDCJAC0010,080023,2013,07,14,16.0,1,Y
IDCJAC0010,080023,2013,07,15,17.3,1,Y
IDCJAC0010,080023,2013,07,16,12.2,1,Y
IDCJAC0010,080023,2013,07,17,17.2,1,Y
IDCJAC0010,080023,2013,07,18,20.6,1,Y
IDCJAC0010,080023,2013,07,19,15.2,1,Y
IDCJAC0010,080023,2013,07,20,10.1,1,Y
IDCJAC0010,080023,2013,07,21,11.7,1,Y
IDCJAC0010,080023,2013,07,22,12.4,1,Y
IDCJAC0010,080023,2013,07,23,13.9,1,Y
IDCJAC0010,080023,2013,07,24,14.2,1,Y
IDCJAC0010,080023,2013,07,25,12.6,1,Y
IDCJAC0010,080023,2013,07,26,16.3,1,Y
IDCJAC0010,080023,2013,07,27,16.3,1,Y
IDCJAC0010,080023,2013,07,28,18.6,1,Y
IDCJAC0010,080023,2013,07,29,18.9,1,Y
IDCJAC0010,080023,2013,07,30,15.2,1,Y
IDCJAC0010,080023,2013,07,31,14.2,1,Y
IDCJAC0010,080023,2013,08,01,14.5,1,Y
IDCJAC0010,080023,2013,08,02,13.8,1,Y
IDCJAC0010,080023,2013,08,03,15.0,1,Y
IDCJAC0010,080023,2013,08,04,14.8,1,Y
IDCJAC0010,080023,2013,08,05,16.3,1,Y
IDCJAC0010,080023,2013,08,06,15.1,1,Y
IDCJAC0010,080023,2013,08,07,15.1,1,Y
IDCJAC0010,080023,2013,08,08,14.5,1,Y
IDCJAC0010,080023,2013,08,09,14.8,1,Y
IDCJAC0010,080023,2013,08,10,16.6,1,Y
IDCJAC0010,080023,2013,08,11,19.4,1,Y
IDCJAC0010,080023,2013,08,12,15.4,1,Y
IDCJAC0010,080023,2013,08,13,17.6,1,Y
IDCJAC0010,080023,2013,08,14,17.0,1,Y
IDCJAC0010,080023,2013,08,15,16.2,1,Y
IDCJAC0010,080023,2013,08,16,17.9,1,Y
IDCJAC0010,080023,2013,08,17,15.7,1,Y
IDCJAC0010,080023,2013,08,18,20.0,1,Y
IDCJAC0010,080023,2013,08,19,12.7,1,Y
IDCJAC0010,080023,2013,08,20,12.7,1,Y
IDCJAC0010,080023,2013,08,21,13.5,1,Y
IDCJAC0010,080023,2013,08,22,15.2,1,Y
IDCJAC0010,080023,2013,08,23,15.6,1,Y
IDCJAC0010,080023,2013,08,24,15.2,1,Y
IDCJAC0010,080023,2013,08,25,17.3,1,Y
IDCJAC0010,080023,2013,08,26,19.0,1,Y
IDCJAC0010,080023,2013,08,27,23.3,1,Y
IDCJAC0010,080023,2013,08,28,25.5,1,Y
IDCJAC0010,080023,2013,08,29,23.0,1,Y
IDCJAC0010,080023,2013,08,30,20.8,1,Y
IDCJAC0010,080023,2013,08,31,24.3,1,Y
