Habitat,DayNight,Replicate,Mass,Peramphithoe_parmerong,Ampithoe_caddi,Ampithoe_kava,Ampithoe_ngana,Cymadusa_munnu,Exampithoe_kutti,Plumithoe_quadrimanus
Dictyopteris_acrostichoides,Night,2,38.2,0,49,22,105,0,79,0
Dictyopteris_acrostichoides,Night,3,20.1,1,95,31,43,0,167,0
Dictyopteris_acrostichoides,Night,4,10.3,0,12,3,3,0,33,0
Dictyopteris_acrostichoides,Night,5,25.7,0,48,27,19,0,95,0
Dictyopteris_acrostichoides,Night,6,41.9,0,6,0,0,0,4,0
Dictyopteris_acrostichoides,Night,7,29.4,0,21,1,2,0,71,0
Dictyopteris_acrostichoides,Night,8,21.8,0,35,2,6,0,37,0
Dictyopteris_acrostichoides,Night,9,23.9,0,179,159,135,0,166,0
Dictyopteris_acrostichoides,Night,10,23.8,0,8,3,2,0,8,0
Sargassum_linearifolium,Day,1,43.9,69,23,127,103,0,6,0
Sargassum_linearifolium,Day,2,52.3,16,0,9,57,0,7,0
Sargassum_linearifolium,Day,3,54.4,23,24,34,17,0,23,0
Sargassum_linearifolium,Day,4,25.6,8,33,21,23,0,7,0
Sargassum_linearifolium,Day,5,48.2,56,22,34,54,0,4,0
Sargassum_linearifolium,Day,6,70.4,3,4,9,4,0,0,0
Sargassum_linearifolium,Day,7,92.7,43,42,123,136,0,7,0
Sargassum_linearifolium,Day,8,52.7,26,14,8,5,0,18,0
Sargassum_linearifolium,Day,9,41.9,17,58,63,70,0,12,0
Sargassum_linearifolium,Day,10,31,5,5,42,84,0,4,0
Sargassum_linearifolium,Night,1,65.1,17,160,64,94,0,7,0
Sargassum_linearifolium,Night,2,41.5,3,17,21,89,0,3,0
Sargassum_linearifolium,Night,3,52.2,50,24,44,90,0,4,0
Sargassum_linearifolium,Night,4,40.1,23,43,36,60,0,23,0
Sargassum_linearifolium,Night,5,71.2,47,45,70,102,0,5,0
Sargassum_linearifolium,Night,6,35.2,13,25,65,103,0,4,0
Sargassum_linearifolium,Night,7,35.6,22,9,24,93,0,6,0
Sargassum_linearifolium,Night,8,47.7,96,11,28,73,0,9,0
Sargassum_linearifolium,Night,9,20.9,20,9,71,97,0,2,0
Sargassum_linearifolium,Night,10,34.6,45,27,29,38,0,10,0
Sargassum_vestitum,Day,1,42.3,30,1,6,3,0,2,0
Sargassum_vestitum,Day,2,31.8,23,1,2,1,0,1,0
Sargassum_vestitum,Day,3,42.8,56,10,22,11,0,0,0
Sargassum_vestitum,Day,4,27.3,13,0,2,4,0,3,0
Sargassum_vestitum,Day,5,37.9,60,8,12,5,0,0,0
Sargassum_vestitum,Day,6,52.9,3,0,1,1,0,0,0
Sargassum_vestitum,Day,7,27.1,31,5,16,19,0,0,0
Sargassum_vestitum,Day,8,35.7,9,14,10,6,0,2,0
Sargassum_vestitum,Day,9,34.4,24,1,8,1,0,8,0
Sargassum_vestitum,Day,10,31.8,5,0,1,1,0,0,0
Sargassum_vestitum,Night,1,25.6,44,5,15,5,0,5,0
Sargassum_vestitum,Night,2,51.9,45,0,0,3,0,0,0
Sargassum_vestitum,Night,3,46.4,18,1,1,0,0,0,0
Sargassum_vestitum,Night,4,27.1,16,1,1,0,0,0,0
Sargassum_vestitum,Night,5,51.9,42,13,3,0,0,0,0
Sargassum_vestitum,Night,6,26.4,16,7,10,4,0,0,0
Sargassum_vestitum,Night,7,26.1,20,20,31,4,0,4,0
Sargassum_vestitum,Night,8,16.3,9,1,0,0,0,0,0
Sargassum_vestitum,Night,9,28.7,13,5,23,10,0,4,0
Sargassum_vestitum,Night,10,53.7,2,0,0,0,0,0,0
Zonaria_diesingiana,Day,1,8.6,0,14,8,59,0,43,0
Zonaria_diesingiana,Day,2,6.2,0,1,10,33,0,6,6
Zonaria_diesingiana,Day,3,8.9,0,2,4,22,0,0,0
Zonaria_diesingiana,Day,4,7.4,0,0,0,10,0,10,0
Zonaria_diesingiana,Day,5,12.8,0,0,0,23,0,2,0
Zonaria_diesingiana,Day,6,15.3,0,0,4,30,0,7,0
Zonaria_diesingiana,Day,7,11.8,0,0,3,9,0,1,0
Zonaria_diesingiana,Day,8,9.9,0,0,0,4,0,1,8
Zonaria_diesingiana,Day,9,14.6,0,5,13,12,0,7,0
Zonaria_diesingiana,Day,10,10.4,0,3,0,42,0,0,1
Zonaria_diesingiana,Night,1,11.8,0,10,0,40,0,19,0
Zonaria_diesingiana,Night,2,4.2,0,14,2,36,2,18,0
Zonaria_diesingiana,Night,3,3.9,0,0,0,43,0,6,0
Zonaria_diesingiana,Night,4,7.6,0,8,13,50,0,5,7
Zonaria_diesingiana,Night,5,6.6,0,2,0,61,0,11,4
Zonaria_diesingiana,Night,6,10.3,0,4,1,28,0,1,0
Zonaria_diesingiana,Night,7,12.8,0,5,0,19,0,6,0
Zonaria_diesingiana,Night,8,7,0,4,0,10,0,4,0
Zonaria_diesingiana,Night,9,5.6,0,3,4,17,0,2,0
Zonaria_diesingiana,Night,10,7.2,0,3,0,49,0,14,0
